favorite_count,hashtag,retweet_count,tweet_id
33697,None,6969,892420643555336193
29222,None,5272,892177421306343426
21978,None,3464,891815181378084864
36791,None,7191,891689557279858688
35182,BarkWeek,7717,891327558926688256
17749,BarkWeek,2586,891087950875897856
10331,None,1647,890971913173991426
56669,None,15679,890729181411237888
24427,BarkWeek,3604,890609185150312448
27848,None,6068,890240255349198849
26947,BarkWeek,6111,890006608113172480
24488,None,4141,889880896479866881
41878,None,8302,889665388333682689
23580,None,3700,889638837579907072
13313,BarkWeek,1874,889531135344209921
22026,BarkWeek,4418,889278841981685760
25533,None,3742,888917238123831296
22392,None,3513,888804989199671297
17243,None,2863,888554962724278272
19101,None,2885,888078434458587136
26530,None,4516,887705289381826560
40586,None,9810,887517139158093824
59977,None,14952,887473957103951883
29490,None,8775,887343217045368832
26897,None,4969,887101392804085760
30239,None,6287,886983233522544640
10455,None,2615,886736880519319552
19655,None,3720,886680336477933568
18489,None,2613,886366144734445568
105,None,4,886267009285017600
24444,None,5253,886258384151887873
0,BATP,93,886054160059072513
28496,None,5589,885984800019947520
31485,None,5306,885528943205470208
17941,None,3097,885518971528720385
0,None,15364,885311592912609280
19191,None,3652,885167619883638784
67013,None,14943,884925521741709313
24298,None,4639,884876753390489601
21244,None,3896,884562892145688576
23778,None,4776,884441805382717440
63020,None,16823,884247878851493888
17887,None,2493,884162670584377345
19092,None,2850,883838122936631299
40044,None,8221,883482846933004288
19879,None,3061,883360690899218434
32387,None,5513,883117836046086144
20920,None,3229,882992080364220416
24696,None,4077,882762694511734784
24528,None,5042,882627270321602560
39041,None,9583,882268110199369728
25627,None,4066,882045870035918850
21374,None,2839,881906580714921986
44387,None,8912,881666595344535552
113,None,8,881633300179243008
43284,None,13351,881536004380872706
20429,Canada150,4482,881268444196462592
14995,None,2325,880935762899988482
18655,None,3191,880872448815771648
24929,None,5192,880465832366813184
23578,None,3448,880221127280381952
24233,None,3634,880095782870896641
19639,None,2913,879862464715927552
282,None,9,879674319642796034
20649,None,2619,879492040517615616
92504,None,37265,879415818425184262
14809,None,2634,879376492567855104
